d
Debug= 1
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:28.929
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:28.929
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:28.929
Rcvd msgID: 0x108; 00; A4; 01; 7D; B6; 00; 00; 00  00:01:28.938
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 5A  00:01:28.953
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:29.021
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:29.021
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:29.021
Rcvd msgID: 0x108; 00; A4; 01; 7D; B6; 00; 00; 00  00:01:29.033
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 5A  00:01:29.047
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:29.127
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:29.127
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:29.127
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:29.207
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:29.207
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:29.207
Rcvd msgID: 0x108; 00; A4; 01; 7D; B6; 00; 00; 00  00:01:29.216
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 5A  00:01:29.232
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:29.358
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:29.358
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:29.358
Rcvd msgID: 0x108; 00; A4; 01; 7D; B6; 00; 00; 00  00:01:29.364
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 5A  00:01:29.377
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:29.392
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:29.392
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:29.392
Rcvd msgID: 0x108; 00; A4; 01; 7D; B6; 00; 00; 00  00:01:29.401
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 5A  00:01:29.415
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:29.488
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:29.488
Rcvd msgID: 0x108; 00; A4; 01; 7D; B6; 00; 00; 00  00:01:29.500
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 5A  00:01:29.514
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:29.585
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:29.585
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:29.585
Rcvd msgID: 0x108; 00; A4; 01; 7D; B6; 00; 00; 00  00:01:29.592
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 5A  00:01:29.606
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:29.677
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:29.677
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:29.677
Rcvd msgID: 0x108; 00; A4; 01; 7D; B6; 00; 00; 00  00:01:29.687
