d
Debug= 1
Rcvd msgID: 0x109; 01; 8E; 00; 00; 00; 24; FF; 00  00:11:06.484
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 01; 00  00:11:06.565
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:11:06.565
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:11:06.565
Rcvd msgID: 0x109; 01; 61; 00; 00; 00; 24; FF; 00  00:11:06.614
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 01; 00  00:11:06.630
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:11:06.630
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:11:06.630
Rcvd msgID: 0x108; 00; F9; 01; 7D; B6; 00; 00; 00  00:11:06.630
Rcvd msgID: 0x109; 01; 50; 00; 00; 00; 24; FF; 00  00:11:06.667
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 01; 00  00:11:06.710
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:11:06.710
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:11:06.710
Rcvd msgID: 0x108; 00; F9; 01; 7D; B6; 00; 00; 00  00:11:06.710
Rcvd msgID: 0x109; 01; 3E; 00; 00; 00; 24; FF; 00  00:11:06.751
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 01; 00  00:11:06.797
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:11:06.797
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:11:06.797
Rcvd msgID: 0x109; 01; 30; 00; 00; 00; 24; FF; 00  00:11:06.843
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 01; 00  00:11:06.895
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:11:06.895
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:11:06.895
Rcvd msgID: 0x108; 00; F9; 01; 7D; B6; 00; 00; 00  00:11:06.895
Rcvd msgID: 0x109; 01; 25; 00; 00; 00; 24; FF; 00  00:11:06.936
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 01; 00  00:11:06.981
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:11:06.981
Rcvd msgID: 0x404; 06; 69; FF; FF; 00; 6C; 00; 00  00:11:07.022
Rcvd msgID: 0x505; 00; 00; 00; 11; 00; 00; 00; 00  00:11:07.022
Rcvd msgID: 0x109; 01; 1C; 00; 00; 00; 24; FF; 00  00:11:07.028
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 01; 00  00:11:07.111
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:11:07.111
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:11:07.111
Rcvd msgID: 0x108; 00; F9; 01; 7D; B6; 00; 00; 00  00:11:07.111
Rcvd msgID: 0x109; 01; 14; 00; 00; 00; 24; FF; 00  00:11:07.149
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 01; 00  00:11:07.163
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:11:07.163
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:11:07.163
Rcvd msgID: 0x108; 00; F9; 01; 7D; B6; 00; 00; 00  00:11:07.163
Rcvd msgID: 0x109; 01; 11; 00; 00; 00; 24; FF; 00  00:11:07.204
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 01; 00  00:11:07.252
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:11:07.252
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:11:07.252
Rcvd msgID: 0x109; 01; 0E; 00; 00; 00; 24; FF; 00  00:11:07.301
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 01; 00  00:11:07.349
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:11:07.349
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:11:07.349
Rcvd msgID: 0x108; 00; F9; 01; 7D; B6; 00; 00; 00  00:11:07.349
Rcvd msgID: 0x109; 01; 0B; 00; 00; 00; 24; FF; 00  00:11:07.390
Rcvd msgID: 0x109; 01; A6; 00; 00; 00; 24; FF; 59  00:11:07.490
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 01; 01; 00  00:11:07.490
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:11:07.490
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:11:07.490
Rcvd msgID: 0x108; 00; F9; 01; 7D; B6; 00; 00; 00  00:11:07.490
Rcvd msgID: 0x109; 01; A6; 00; 00; 00; 24; FF; 00  00:11:07.532
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 01; 01; 00  00:11:07.579
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:11:07.579
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:11:07.579
Rcvd msgID: 0x102; 01; B1; 00; 01; 00; 01; 01; 00  00:11:07.613
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:11:07.613
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:11:07.613
Rcvd msgID: 0x108; 00; F9; 01; 7D; B6; 00; 00; 00  00:11:07.613
Rcvd msgID: 0x404; 06; 69; FF; FF; 00; 6C; 00; 00  00:11:07.635
Rcvd msgID: 0x505; 00; 00; 00; 11; 00; 00; 00; 00  00:11:07.635
Rcvd msgID: 0x109; 01; A6; 00; 00; 00; 24; FF; 00  00:11:07.654
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 01; 01; 00  00:11:07.724
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:11:07.724
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 01; 00  00:11:07.726
Rcvd msgID: 0x108; 00; F9; 01; 7D; B6; 00; 00; 00  00:11:07.727
Rcvd msgID: 0x109; 01; 9B; 00; 00; 00; 24; FF; 00  00:11:07.773
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 01; 00  00:11:07.794
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:11:07.794
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:11:07.794
Rcvd msgID: 0x108; 00; F9; 01; 7D; B6; 00; 00; 00  00:11:07.794
Rcvd msgID: 0x109; 01; 7D; 00; 00; 00; 24; FF; 00  00:11:07.832
Rcvd msgID: 0x109; 01; 5E; 00; 00; 00; 24; FF; 00  00:11:07.932
Rcvd msgID: 0x109; 01; 46; 00; 00; 00; 24; FF; 00  00:11:08.032
Rcvd msgID: 0x109; 01; 34; 00; 00; 00; 24; FF; 00  00:11:08.132
Rcvd msgID: 0x404; 06; 69; FF; FE; 00; 6C; 00; 00  00:11:08.201
Rcvd msgID: 0x505; 00; 00; 00; 11; 00; 00; 00; 00  00:11:08.201
Rcvd msgID: 0x109; 01; 27; 00; 00; 00; 24; FF; 00  00:11:08.232
Rcvd msgID: 0x109; 01; 1D; 00; 00; 00; 24; FF; 00  00:11:08.332
Rcvd msgID: 0x109; 01; 16; 00; 00; 00; 24; FF; 00  00:11:08.428
Rcvd msgID: 0x109; 01; 10; 00; 00; 00; 24; FF; 00  00:11:08.528
Rcvd msgID: 0x109; 01; 0C; 00; 00; 00; 24; FF; 00  00:11:08.628
Rcvd msgID: 0x109; 01; 09; 00; 00; 00; 24; FF; 00  00:11:08.728
Rcvd msgID: 0x404; 06; 69; FF; FF; 00; 6C; 00; 00  00:11:08.791
Rcvd msgID: 0x505; 00; 00; 00; 11; 00; 00; 00; 00  00:11:08.791
Rcvd msgID: 0x109; 01; 06; 00; 00; 00; 24; FF; 00  00:11:08.828
Rcvd msgID: 0x109; 01; 04; 00; 00; 00; 24; FF; 00  00:11:08.928
Rcvd msgID: 0x109; 01; 03; 00; 00; 00; 24; FF; 00  00:11:09.024
Rcvd msgID: 0x109; 01; 02; 00; 00; 00; 24; FF; 00  00:11:09.124
Rcvd msgID: 0x109; 01; 01; 00; 00; 00; 24; FF; 00  00:11:09.224
Rcvd msgID: 0x109; 01; 01; 00; 00; 00; 24; FF; 00  00:11:09.324
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 24; FF; 00  00:11:09.424
Rcvd msgID: 0x404; 06; 69; FF; FF; 00; 6C; 00; 00  00:11:09.473
Rcvd msgID: 0x505; 00; 00; 00; 11; 00; 00; 00; 00  00:11:09.473
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 24; FF; 00  00:11:09.524
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 24; FF; 00  00:11:09.621
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 24; FF; 00  00:11:09.721
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 24; FF; 00  00:11:09.821
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 24; FF; 00  00:11:09.921
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 24; FF; 00  00:11:10.021
Rcvd msgID: 0x404; 06; 69; FF; FF; 00; 6C; 00; 00  00:11:10.055
Rcvd msgID: 0x505; 00; 00; 00; 11; 00; 00; 00; 00  00:11:10.055
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 24; FF; 00  00:11:10.121
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 24; FF; 00  00:11:10.218
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 24; FF; 00  00:11:10.318
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 24; FF; 00  00:11:10.418
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 24; FF; 00  00:11:10.518
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 24; FF; 00  00:11:10.618
Rcvd msgID: 0x404; 06; 69; 00; 00; 00; 6C; 00; 00  00:11:10.648
Rcvd msgID: 0x505; 00; 00; 00; 11; 00; 00; 00; 00  00:11:10.648
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 24; FF; 00  00:11:10.718
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 24; FF; 00  00:11:10.814
