l
Success...microSD file open...
Setting data logger to ON..sgteold.txt..
d
Debug= 1
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 0A  00:02:06.430
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:02:06.508
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:02:06.508
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:02:06.508
Rcvd msgID: 0x108; 00; A4; 01; 7D; BE; 00; 00; 00  00:02:06.512
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 0A  00:02:06.527
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:02:06.559
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:02:06.559
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:02:06.559
Rcvd msgID: 0x108; 00; A4; 01; 7D; BE; 00; 00; 00  00:02:06.569
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 0A  00:02:06.584
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:02:06.588
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:02:06.588
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:02:06.635
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:02:06.635
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:02:06.635
Rcvd msgID: 0x108; 00; A4; 01; 7D; BE; 00; 00; 00  00:02:06.645
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 0A  00:02:06.660
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:02:06.681
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:02:06.681
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:02:06.681
Rcvd msgID: 0x108; 00; A4; 01; 7D; BE; 00; 00; 00  00:02:06.690
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 0A  00:02:06.705
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:02:06.726
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:02:06.726
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:02:06.726
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:02:06.771
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:02:06.771
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:02:06.771
Rcvd msgID: 0x108; 00; A4; 01; 7D; BE; 00; 00; 00  00:02:06.781
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 0A  00:02:06.798
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:02:06.816
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:02:06.816
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:02:06.816
Rcvd msgID: 0x108; 00; A4; 01; 7D; BE; 00; 00; 00  00:02:06.826
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 0A  00:02:06.840
Rcvd msgID: 0x404; 06; 58; FF; FE; 02; 4C; 00; 00  00:02:06.849
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:02:06.849
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:02:06.897
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:02:06.897
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:02:06.897
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:02:06.903
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:02:06.903
Rcvd msgID: 0x108; 00; A4; 01; 7D; BE; 00; 00; 00  00:02:06.903
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 0A  00:02:06.905
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:02:06.938
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:02:06.938
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:02:06.938
Rcvd msgID: 0x108; 00; A4; 01; 7D; BE; 00; 00; 00  00:02:06.945
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 0A  00:02:06.962
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:02:06.984
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:02:06.984
