Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:10.532
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:10.536
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:10.537
Rcvd msgID: 0x108; 00; A4; 01; 7D; B6; 00; 00; 00  00:01:10.540
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 5A  00:01:10.554
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:10.680
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:10.684
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:10.690
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:10.728
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:10.731
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:10.733
Rcvd msgID: 0x108; 00; A4; 01; 7D; B6; 00; 00; 00  00:01:10.735
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 5A  00:01:10.748
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:10.826
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:10.830
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:10.835
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:10.923
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:10.927
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:10.930
Rcvd msgID: 0x108; 00; A4; 01; 7D; B6; 00; 00; 00  00:01:10.935
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 5A  00:01:10.948
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:11.023
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:11.027
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:11.032
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:11.120
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:11.124
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:11.126
Rcvd msgID: 0x108; 00; A4; 01; 7D; B6; 00; 00; 00  00:01:11.131
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 5A  00:01:11.144
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:11.292
